OBJECTID_1,Site_Name,Designation_Type,Link_to_CA,Link_to_GMA,Traffic_Light_Colour_using_80__,Notes,Number_of_Marine_Components,Perc_in_Fav_or_Unfav_Recover,GEOGRAPHIC_LOCATION,Country,EST_DATE,STATUS,SITE_CODE,LEAD,Features,Feature_Designation_Dates,Feature_Management_Approaches,Feature_Conditions,Feature_Favourable,Feature_Unfavourable_Recovering,Feature_Unfavourable_No_Change,Feature_Unfavourable_Declining,Feature_Partially_Destroyed,Feature_Destroyed,Feature_Not_Assessed
15,Monach Isles ,Scottish NCMPA,https://sitelink.nature.scot/site/10420,,Mixed_Picture,,3,0.66666,MARINE,Scotland,,Current,,SNH,Dune grassland; Grey seal (Halichoerus grypus); Machair; Shifting dunes with marram,17/03/2005; 17/03/2005; 17/03/2005; 17/03/2005,-; -; -; -,Y; Y; Y; Y,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
16,Red Rocks and Longay ,Scottish NCMPA,https://sitelink.nature.scot/site/10594,https://sitelink.nature.scot/site/10594,Recovered/Recovering,,2,1,MARINE,Scotland,,Current,,SNH,"Flapper skate (Dipturus intermedius); Quaternary of Scotland - moraines, crag and tails, rock drumlin",10/03/2021; 09/02/2023,Conserve; Conserve,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
17,Loch Creran ,Scottish NCMPA,https://sitelink.nature.scot/site/10415,,Recovered/Recovering,,2,1,MARINE,Scotland,,Current,,SNH,Reefs,17/03/2005,-,Y,-,-,-,-,-,-,-
18,Noss Head ,Scottish NCMPA,https://sitelink.nature.scot/site/10411,,Recovered/Recovering,,1,1,MARINE,Scotland,,Current,,SNH,"Fulmar (Fulmarus glacialis), breeding; Gannet (Morus bassanus), breeding; Great skua (Stercorarius skua), breeding; Guillemot (Uria aalge), breeding; Kittiwake (Rissa tridactyla), breeding; Puffin (Fratercula arctica), breeding; Seabird, assemblage, breeding",16/08/1996; 16/08/1996; 16/08/1996; 16/08/1996; 16/08/1996; 16/08/1996; 16/08/1996,-; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -,-; -; -; -; -; -; -
19,Wyre and Rousay Sounds ,Scottish NCMPA,https://sitelink.nature.scot/site/10413,,Recovered/Recovering,,3,1,MARINE,Scotland,,Current,,SNH,Kelp and seaweed communities on sublittoral sediment; Maerl beds; Marine geomorphology of the Scottish shelf seabed,07/08/2014; 07/08/2014; 07/08/2014,Conserve; Conserve; Conserve,N; N; N,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
20,Southern Trench ,Scottish NCMPA,https://sitelink.nature.scot/site/10477,,Recovered/Recovering,,6,1,MARINE,Scotland,,Current,,SNH,Burrowed mud; Fronts; Minke whale (Balaenoptrea acutorostrata); Quaternary of Scotland; Shelf deeps; Submarine Mass Movement,17/12/2020; 17/12/2020; 17/12/2020; 17/12/2020; 17/12/2020; 17/12/2020,Conserve; Conserve; Conserve; Conserve; Conserve; Conserve,N; N; N; N; N; N,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
21,East Caithness Cliffs ,Scottish NCMPA,https://sitelink.nature.scot/site/10408,,Degraded/Degrading,,1,,MARINE,Scotland,,Current,,SNH,"Cormorant (Phalacrocorax carbo), breeding; Fulmar (Fulmarus glacialis), breeding; Great black-backed gull (Larus marinus), breeding; Guillemot (Uria aalge), breeding; Herring gull (Larus argentatus), breeding; Kittiwake (Rissa tridactyla), breeding; Peregrine (Falco peregrinus), breeding; Razorbill (Alca torda), breeding; Seabird assemblage, breeding; Shag (Phalacrocorax aristotelis), breeding",27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996; 27/03/1996,-; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -
22,South Arran ,Scottish NCMPA,https://sitelink.nature.scot/site/10423,,Recovered/Recovering,,7,,MARINE,Scotland,,Current,,SNH,"Black-tailed godwit (Limosa limosa islandica), A616, nb; Dark-bellied brent goose (Branta bernicla bernicla), A675, nb; Dunlin (Calidris alpina alpina), A672, nb; Red-breasted merganser (Mergus serrator), A069, nb",28/02/1995; 28/02/1995; 28/02/1995; 28/02/1995,-; -; -; -,Y; Y; Y; Y,-; -; -; -,100%; -; -; -,-; 100%; -; -,-; -; 100%; 100%,-; -; -; -,-; -; -; -,-; -; -; -
23,Upper Loch Fyne and Loch Goil ,Scottish NCMPA,https://sitelink.nature.scot/site/10424,,Recovered/Recovering,,5,,MARINE,Scotland,,Current,,SNH,Burrowed mud; Flameshell beds; Horse mussel beds; Ocean quahog aggregations (Arctica islandica); Sublittoral mud and specific mixed sediment communities,07/08/2014; 07/08/2014; 07/08/2014; 07/08/2014; 07/08/2014,Conserve; Recover; Conserve; Conserve; Conserve,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
25,Central Fladen ,Scottish NCMPA,https://data.jncc.gov.uk/data/7a3bf598-1025-4197-a0c9-b4f5af9e5805/CentralFladen-4-ConservationStatements-V1.0.pdf,https://data.jncc.gov.uk/data/7a3bf598-1025-4197-a0c9-b4f5af9e5805/CentralFladen-4-ConservationStatements-V1.0.pdf,Mixed_Picture,,2,0.5,MARINE,Scotland,,Current,,JNCC,Burrowed mud; Sub-glacial tunnel valley representative of the Fladen Deeps Key Geodiversity Area,07/08/2014; 07/08/2014,Recover to favourable condition; Maintain in favourable condition,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
26,Turbot Bank ,Scottish NCMPA,https://data.jncc.gov.uk/data/63f05a50-a78b-4a58-9bde-d78261780729/TurbotBank-4-ConservationStatements-V1.0.pdf,,Recovered/Recovering,,1,1,MARINE,Scotland,,Current,,JNCC,Sandeels,7/8/2014,-,Y,-,-,-,-,-,-,-
27,West Shetland Shelf,Scottish NCMPA,https://data.jncc.gov.uk/data/99949625-27d3-4ef5-88ca-9c0f2e3f605b/WSS-4-ConservationStatements-v1.0.pdf,,Recovered/Recovering,,1,1,MARINE,Scotland,,Current,,JNCC,Offshore subtidal sands and gravels,7/8/2014,-,Y,-,-,-,-,-,-,-
28,Hatton-Rockall Basin ,Scottish NCMPA,https://data.jncc.gov.uk/data/510d000b-bff5-4031-836f-e4cc223a57d7/HRB-4-ConservationStatements-V1.0.pdf,https://data.jncc.gov.uk/data/510d000b-bff5-4031-836f-e4cc223a57d7/HRB-4-ConservationStatements-V1.0.pdf,Condition_Unknown,,3,,MARINE,Scotland,,Current,,JNCC,Deep-sea sponge aggregations; Offshore deep-sea muds; Sediment drifts and polygonal fault systems representative of the Hatton Bank (and adjacent seafloor) key geodiversity area,07/08/2014; 07/08/2014; 07/08/2014,-; -; -,Y; Y; Y,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
29,North-west Orkney ,Scottish NCMPA,https://data.jncc.gov.uk/data/10f3ad34-f1f8-4f12-b2ab-17e73f55cc60/NWO-4-ConservationStatements-V1.0.pdf,,Recovered/Recovering,,2,1,MARINE,Scotland,,Current,,JNCC,Subtidal coarse sediment,31/05/2019,Recover to favourable condition,N,-,-,-,-,-,-,-
